DateTime,MapCode,TotalLoadValue
2026-01-25 06:30:00,IE,3583.823
2026-01-25 07:00:00,IE,3654.781
2026-01-25 07:30:00,IE,3745.742
2026-01-25 08:00:00,IE,3822.38
2026-01-25 08:30:00,IE,3918.569
2026-01-25 09:00:00,IE,4048.857
2026-01-25 09:30:00,IE,4229.552
2026-01-25 10:00:00,IE,4312.911
2026-01-25 10:30:00,IE,4406.688
2026-01-25 11:00:00,IE,4455.764
2026-01-25 11:30:00,IE,4471.04
2026-01-25 12:00:00,IE,4477.035
2026-01-25 12:30:00,IE,4525.686
2026-01-25 13:00:00,IE,4521.374
2026-01-25 13:30:00,IE,4500.639
2026-01-25 14:00:00,IE,4475.326
2026-01-25 14:30:00,IE,4456.641
2026-01-25 15:00:00,IE,4492.827
2026-01-25 15:30:00,IE,4504.366
2026-01-25 16:00:00,IE,4597.982
2026-01-25 16:30:00,IE,4716.492
2026-01-25 17:00:00,IE,4851.481
2026-01-25 17:30:00,IE,5082.228
2026-01-25 18:00:00,IE,5099.469
2026-01-25 18:30:00,IE,5053.626
2026-01-25 19:00:00,IE,5017.901
2026-01-25 19:30:00,IE,4939.326
2026-01-25 20:00:00,IE,4829.699
2026-01-25 20:30:00,IE,4729.305
2026-01-25 21:00:00,IE,4602.507
2026-01-25 21:30:00,IE,4433.465
2026-01-25 22:00:00,IE,4273.538
2026-01-25 22:30:00,IE,4094.965
2026-01-25 23:00:00,IE,3939.14
2026-01-25 23:30:00,IE,3987.84
2026-01-26 00:00:00,IE,3861.801
2026-01-26 00:30:00,IE,3801.44
2026-01-26 01:00:00,IE,3713.508
2026-01-26 01:30:00,IE,3657.214
2026-01-26 02:00:00,IE,3633.092
2026-01-26 02:30:00,IE,3676.258
2026-01-26 03:00:00,IE,3598.565
2026-01-26 03:30:00,IE,3605.61
2026-01-26 04:00:00,IE,3514.197
2026-01-26 04:30:00,IE,3511.654
2026-01-26 05:00:00,IE,3515.426
2026-01-26 05:30:00,IE,3574.508
2026-01-26 06:00:00,IE,3708.088
2026-01-26 06:30:00,IE,3984.398
2026-01-26 07:00:00,IE,4300.808
2026-01-26 07:30:00,IE,4615.8
2026-01-26 08:00:00,IE,4799.382
2026-01-26 08:30:00,IE,4885.885
2026-01-26 09:00:00,IE,4949.685
2026-01-26 09:30:00,IE,5048.006
2026-01-26 10:00:00,IE,5052.443
2026-01-26 10:30:00,IE,5086.683
2026-01-26 11:00:00,IE,5124.629
2026-01-26 11:30:00,IE,5099.677
2026-01-26 12:00:00,IE,5123.43
2026-01-26 12:30:00,IE,5181.111
2026-01-26 14:00:00,IE,5146.68
2026-01-26 14:30:00,IE,5160.007
2026-01-26 16:00:00,IE,5204.019
2026-01-26 16:30:00,IE,5351.486
2026-01-26 17:00:00,IE,5434.718
2026-01-26 17:30:00,IE,5614.96
2026-01-26 18:00:00,IE,5638.706
2026-01-26 18:30:00,IE,5543.654
2026-01-26 19:00:00,IE,5452.918
2026-01-26 19:30:00,IE,5367.17
